n_clients,n_attackers,malicious_clients,aggregation,label_flip_rate,rounds,recall,false_positive_rate,accuracy,f1
30,5,"7,8,26,27,29",fedavg,0.3,1,0.5803787111353542,0.07064154052105859,0.7307044002838893,0.7104497543759241
30,10,"3,4,5,6,14,15,16,17,23,26",fedavg,0.3,1,0.5620665471830437,0.06744928431675419,0.7216554293825408,0.6968745471233274
