n_clients,n_attackers,malicious_clients,aggregation,label_flip_rate,rounds,recall,false_positive_rate,accuracy,f1
30,5,"7,8,26,27,29",trimmed_mean,0.3,3,0.6744331021584976,0.07270106065286788,0.7833569907735983,0.7799405244660719
30,10,"3,4,5,6,14,15,16,17,23,26",trimmed_mean,0.3,3,0.6730304683238526,0.0720832046133251,0.7828246983676366,0.7791610284167795
