round,logged_at,accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,tp,fp,tn,fn,cosine_sim_min,cosine_sim_mean,trust_min,trust_mean,loss_stability_mean,cross_layer_mean,dropped_clients
1.0,2026-03-08T08:14:03.421145+00:00,0.5566666666666666,0.5566666666666666,1.0,0.715203426124197,1.0,0.0,835.0,665.0,0.0,0.0,0.19191655156849022,0.7328402350421366,0.7382581563129273,0.8755007070691686,0.9984208296843863,0.7707417635501518,1.0
1.0,2026-03-08T08:14:03.921310+00:00,0.5566666666666666,0.5566666666666666,1.0,0.715203426124197,1.0,0.0,835.0,665.0,0.0,0.0,,,,,0.9984208296843863,0.7707417635501518,
