run_name,round,logged_at,accuracy,precision,recall,f1,false_positive_rate,loss_stability_mean,cross_layer_mean,false_negative_rate,tp,fp,tn,fn,cosine_sim_min,cosine_sim_mean,trust_min,trust_mean,dropped_clients
20260308_022920,1,2026-03-08 02:29:23.776756+00:00,0.30194286728176,0.387962962962962,0.39180238447751803,0.38987322141666303,0.8168056842755631,1.0,0.769830176780798,,,,,,,,,,
20260308_022920,2,2026-03-08 02:29:25.640233+00:00,0.30194286728176,0.387962962962962,0.39180238447751803,0.38987322141666303,0.8168056842755631,1.0,0.769830176780798,,,,,,,,,,
20260308_022920,3,2026-03-08 02:29:27.115878+00:00,0.30194286728176,0.387962962962962,0.39180238447751803,0.38987322141666303,0.8168056842755631,1.0,0.769830176780798,,,,,,,,,,
20260308_022927,1,2026-03-08 02:29:28.565968+00:00,0.30194286728176,0.387962962962962,0.39180238447751803,0.38987322141666303,0.8168056842755631,1.0,0.769830176780798,,,,,,,,,,
20260308_022927,2,2026-03-08 02:29:29.846431+00:00,0.30194286728176,0.387962962962962,0.39180238447751803,0.38987322141666303,0.8168056842755631,1.0,0.769830176780798,,,,,,,,,,
20260308_022927,3,2026-03-08 02:29:30.710863+00:00,0.30194286728176,0.387962962962962,0.39180238447751803,0.38987322141666303,0.8168056842755631,1.0,0.769830176780798,,,,,,,,,,
20260308_022941,1,2026-03-08 02:29:42.560007+00:00,0.30194286728176,0.387962962962962,0.39180238447751803,0.38987322141666303,0.8168056842755631,1.0,0.769830176780798,,,,,,,,,,
20260308_022941,2,2026-03-08 02:29:44.106030+00:00,0.30194286728176,0.387962962962962,0.39180238447751803,0.38987322141666303,0.8168056842755631,1.0,0.769830176780798,,,,,,,,,,
20260308_022941,3,2026-03-08 02:29:45.794629+00:00,0.30194286728176,0.387962962962962,0.39180238447751803,0.38987322141666303,0.8168056842755631,1.0,0.769830176780798,,,,,,,,,,
20260308_022946,1,2026-03-08 02:29:47.552786+00:00,0.30194286728176,0.387962962962962,0.39180238447751803,0.38987322141666303,0.8168056842755631,1.0,0.769830176780798,,,,,,,,,,
20260308_022946,2,2026-03-08 02:29:49.147453+00:00,0.30194286728176,0.387962962962962,0.39180238447751803,0.38987322141666303,0.8168056842755631,1.0,0.769830176780798,,,,,,,,,,
20260308_022946,3,2026-03-08 02:29:50.597762+00:00,0.30194286728176,0.387962962962962,0.39180238447751803,0.38987322141666303,0.8168056842755631,1.0,0.769830176780798,,,,,,,,,,
20260308_081112,1,2026-03-08 08:11:13.438066+00:00,0.557,0.556778389194597,1.0,0.715295629820051,0.9988726042841031,1.0,0.7743343636222231,0.0,1113.0,886.0,1.0,0.0,,,,,
20260308_081112,2,2026-03-08 08:11:13.562491+00:00,0.557,0.556778389194597,1.0,0.715295629820051,0.9988726042841031,1.0,0.7743343636222231,0.0,1113.0,886.0,1.0,0.0,,,,,
20260308_081114,1,2026-03-08 08:11:14.835161+00:00,0.5566666666666661,0.5566666666666661,1.0,0.7152034261241971,1.0,0.9984208296843861,0.770741763550151,0.0,835.0,665.0,0.0,0.0,,,,,
20260308_081132,1,2026-03-08 08:11:36.275446+00:00,0.38883960255500305,0.465798045602605,0.501441595885607,0.48296307415190604,0.759962928637627,1.0,0.769830176780798,0.49855840411439206,6435.0,7380.0,2331.0,6398.0,,,,,
20260308_081400,1,2026-03-08 08:14:01.115015+00:00,0.557,0.556778389194597,1.0,0.715295629820051,0.9988726042841031,1.0,0.7743343636222231,0.0,1113.0,886.0,1.0,0.0,,,,,
20260308_081400,2,2026-03-08 08:14:01.237881+00:00,0.557,0.556778389194597,1.0,0.715295629820051,0.9988726042841031,1.0,0.7743343636222231,0.0,1113.0,886.0,1.0,0.0,,,,,
